Year,Finland,Afghanistan,Australia
2008,7.671,3.724,7.254
2009,7.532,4.402,7.352
2010,7.393,4.758,7.45
2011,7.354,3.832,7.406
2012,7.42,3.783,7.196
2013,7.445,3.572,7.364
2014,7.385,3.131,7.289
2015,7.448,3.983,7.309
2016,7.66,4.22,7.25
2017,7.788,2.662,7.257
2018,7.858,2.694,7.177
2019,7.78,2.375,7.234
2020,7.889,2.4055,7.137
2021,7.794,2.436,7.112
2022,7.729,1.281,7.035
2023,7.699,1.446,7.025
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
2006,,7.672,
2008,,,
2010,,,
2011,,,
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,
2023,,,
